"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.52767550000E+009, -2.97407709637E+001, +0.00000000000E+000
+3.57017400000E+009, -2.98416822524E+001, +0.00000000000E+000
+3.61267250000E+009, -2.99199163188E+001, +0.00000000000E+000
+3.65517100000E+009, -2.99391506194E+001, +0.00000000000E+000
+3.69766950000E+009, -3.00381231635E+001, +0.00000000000E+000
+3.74016800000E+009, -3.01478838936E+001, +0.00000000000E+000
+3.78266650000E+009, -3.02296276203E+001, +0.00000000000E+000
+3.82516500000E+009, -3.02294202342E+001, +0.00000000000E+000
+3.86766350000E+009, -3.02917701939E+001, +0.00000000000E+000
+3.91016200000E+009, -3.04172528339E+001, +0.00000000000E+000
+3.95266050000E+009, -3.04632801929E+001, +0.00000000000E+000
+3.99515900000E+009, -3.05314288622E+001, +0.00000000000E+000
+4.03765750000E+009, -3.06283409196E+001, +0.00000000000E+000
+4.08015600000E+009, -3.07119139510E+001, +0.00000000000E+000
+4.12265450000E+009, -3.07987970151E+001, +0.00000000000E+000
+4.16515300000E+009, -3.08394015602E+001, +0.00000000000E+000
+4.20765150000E+009, -3.09737800423E+001, +0.00000000000E+000
+4.25015000000E+009, -3.10386474370E+001, +0.00000000000E+000
+4.29264850000E+009, -3.11019158835E+001, +0.00000000000E+000
+4.33514700000E+009, -3.11533573164E+001, +0.00000000000E+000
+4.37764550000E+009, -3.12498937591E+001, +0.00000000000E+000
+4.42014400000E+009, -3.12280589034E+001, +0.00000000000E+000
+4.46264250000E+009, -3.13708349284E+001, +0.00000000000E+000
+4.50514100000E+009, -3.14178555777E+001, +0.00000000000E+000
+4.54763950000E+009, -3.14443846330E+001, +0.00000000000E+000
+4.59013800000E+009, -3.15107656064E+001, +0.00000000000E+000
+4.63263650000E+009, -3.15879826597E+001, +0.00000000000E+000
+4.67513500000E+009, -3.16910127192E+001, +0.00000000000E+000
+4.71763350000E+009, -3.17636851038E+001, +0.00000000000E+000
+4.76013200000E+009, -3.17775938889E+001, +0.00000000000E+000
+4.80263050000E+009, -3.18555411110E+001, +0.00000000000E+000
+4.84512900000E+009, -3.19541664848E+001, +0.00000000000E+000
+4.88762750000E+009, -3.20926960410E+001, +0.00000000000E+000
+4.93012600000E+009, -3.20403791074E+001, +0.00000000000E+000
+4.97262450000E+009, -3.21218828238E+001, +0.00000000000E+000
+5.01512300000E+009, -3.22058565642E+001, +0.00000000000E+000
+5.05762150000E+009, -3.22863928347E+001, +0.00000000000E+000
+5.10012000000E+009, -3.23501892562E+001, +0.00000000000E+000
+5.14261850000E+009, -3.24120481275E+001, +0.00000000000E+000
+5.18511700000E+009, -3.24725505488E+001, +0.00000000000E+000
+5.22761550000E+009, -3.26211463900E+001, +0.00000000000E+000
+5.27011400000E+009, -3.26710755820E+001, +0.00000000000E+000
+5.31261250000E+009, -3.26909082195E+001, +0.00000000000E+000
+5.35511100000E+009, -3.28283995798E+001, +0.00000000000E+000
+5.39760950000E+009, -3.28983323013E+001, +0.00000000000E+000
+5.44010800000E+009, -3.29203857845E+001, +0.00000000000E+000
+5.48260650000E+009, -3.29772708638E+001, +0.00000000000E+000
+5.52510500000E+009, -3.30387469791E+001, +0.00000000000E+000
+5.56760350000E+009, -3.31337428811E+001, +0.00000000000E+000
+5.61010200000E+009, -3.32117946704E+001, +0.00000000000E+000
+5.65260050000E+009, -3.32751243900E+001, +0.00000000000E+000
