"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -2.00264688241E+001, +0.00000000000E+000
+4.27985000000E+007, -2.09069004133E+001, +0.00000000000E+000
+8.52970000000E+007, -2.12926372735E+001, +0.00000000000E+000
+1.27795500000E+008, -2.15945877842E+001, +0.00000000000E+000
+1.70294000000E+008, -2.18381670051E+001, +0.00000000000E+000
+2.12792500000E+008, -2.20883021560E+001, +0.00000000000E+000
+2.55291000000E+008, -2.23000514319E+001, +0.00000000000E+000
+2.97789500000E+008, -2.24924427819E+001, +0.00000000000E+000
+3.40288000000E+008, -2.26658758890E+001, +0.00000000000E+000
+3.82786500000E+008, -2.28406654272E+001, +0.00000000000E+000
+4.25285000000E+008, -2.29996519286E+001, +0.00000000000E+000
+4.67783500000E+008, -2.31606891235E+001, +0.00000000000E+000
+5.10282000000E+008, -2.33305489833E+001, +0.00000000000E+000
+5.52780500000E+008, -2.34802844933E+001, +0.00000000000E+000
+5.95279000000E+008, -2.36157315133E+001, +0.00000000000E+000
+6.37777500000E+008, -2.37659562275E+001, +0.00000000000E+000
+6.80276000000E+008, -2.39170271525E+001, +0.00000000000E+000
+7.22774500000E+008, -2.40228110061E+001, +0.00000000000E+000
+7.65273000000E+008, -2.41499141674E+001, +0.00000000000E+000
+8.07771500000E+008, -2.42862090067E+001, +0.00000000000E+000
+8.50270000000E+008, -2.44063068176E+001, +0.00000000000E+000
+8.92768500000E+008, -2.45172917590E+001, +0.00000000000E+000
+9.35267000000E+008, -2.46628846082E+001, +0.00000000000E+000
+9.77765500000E+008, -2.47675512097E+001, +0.00000000000E+000
+1.02026400000E+009, -2.48943936162E+001, +0.00000000000E+000
+1.06276250000E+009, -2.49977366619E+001, +0.00000000000E+000
+1.10526100000E+009, -2.51285565868E+001, +0.00000000000E+000
+1.14775950000E+009, -2.52423937941E+001, +0.00000000000E+000
+1.19025800000E+009, -2.53592588710E+001, +0.00000000000E+000
+1.23275650000E+009, -2.54458833823E+001, +0.00000000000E+000
+1.27525500000E+009, -2.55805819216E+001, +0.00000000000E+000
+1.31775350000E+009, -2.56348443727E+001, +0.00000000000E+000
+1.36025200000E+009, -2.57865745443E+001, +0.00000000000E+000
+1.40275050000E+009, -2.58872703005E+001, +0.00000000000E+000
+1.44524900000E+009, -2.59755581904E+001, +0.00000000000E+000
+1.48774750000E+009, -2.60748735438E+001, +0.00000000000E+000
+1.53024600000E+009, -2.61879198907E+001, +0.00000000000E+000
+1.57274450000E+009, -2.62905012177E+001, +0.00000000000E+000
+1.61524300000E+009, -2.63882176056E+001, +0.00000000000E+000
+1.65774150000E+009, -2.64618273071E+001, +0.00000000000E+000
+1.70024000000E+009, -2.65656766813E+001, +0.00000000000E+000
+1.74273850000E+009, -2.66690155093E+001, +0.00000000000E+000
+1.78523700000E+009, -2.67824913545E+001, +0.00000000000E+000
+1.82773550000E+009, -2.68773237710E+001, +0.00000000000E+000
+1.87023400000E+009, -2.69347668955E+001, +0.00000000000E+000
+1.91273250000E+009, -2.70800628396E+001, +0.00000000000E+000
+1.95523100000E+009, -2.71774963321E+001, +0.00000000000E+000
+1.99772950000E+009, -2.72538041954E+001, +0.00000000000E+000
+2.04022800000E+009, -2.73590262317E+001, +0.00000000000E+000
+2.08272650000E+009, -2.74993347134E+001, +0.00000000000E+000
+2.12522500000E+009, -2.75980536312E+001, +0.00000000000E+000
+2.16772350000E+009, -2.76967163704E+001, +0.00000000000E+000
+2.21022200000E+009, -2.77871166746E+001, +0.00000000000E+000
+2.25272050000E+009, -2.79006410751E+001, +0.00000000000E+000
+2.29521900000E+009, -2.80270675545E+001, +0.00000000000E+000
+2.33771750000E+009, -2.80935635067E+001, +0.00000000000E+000
+2.38021600000E+009, -2.81835580207E+001, +0.00000000000E+000
+2.42271450000E+009, -2.83126735433E+001, +0.00000000000E+000
+2.46521300000E+009, -2.84431082214E+001, +0.00000000000E+000
+2.50771150000E+009, -2.85891293716E+001, +0.00000000000E+000
+2.55021000000E+009, -2.87100917446E+001, +0.00000000000E+000
+2.59270850000E+009, -2.88592175481E+001, +0.00000000000E+000
+2.63520700000E+009, -2.90228153357E+001, +0.00000000000E+000
+2.67770550000E+009, -2.91287958040E+001, +0.00000000000E+000
+2.72020400000E+009, -2.92946999301E+001, +0.00000000000E+000
+2.76270250000E+009, -2.93759033286E+001, +0.00000000000E+000
+2.80520100000E+009, -2.94605029003E+001, +0.00000000000E+000
+2.84769950000E+009, -2.95257036905E+001, +0.00000000000E+000
+2.89019800000E+009, -2.95832603483E+001, +0.00000000000E+000
+2.93269650000E+009, -2.96281749118E+001, +0.00000000000E+000
+2.97519500000E+009, -2.96351040046E+001, +0.00000000000E+000
+3.01769350000E+009, -2.96928569952E+001, +0.00000000000E+000
+3.06019200000E+009, -2.97067095482E+001, +0.00000000000E+000
+3.10269050000E+009, -2.97534738349E+001, +0.00000000000E+000
+3.14518900000E+009, -2.97863582159E+001, +0.00000000000E+000
+3.18768750000E+009, -2.97915231135E+001, +0.00000000000E+000
+3.23018600000E+009, -2.99242803564E+001, +0.00000000000E+000
+3.27268450000E+009, -2.98680813215E+001, +0.00000000000E+000
+3.31518300000E+009, -2.98517224353E+001, +0.00000000000E+000
+3.35768150000E+009, -2.98958254287E+001, +0.00000000000E+000
+3.40018000000E+009, -2.99849860784E+001, +0.00000000000E+000
+3.44267850000E+009, -2.99892454423E+001, +0.00000000000E+000
+3.48517700000E+009, -3.00062573195E+001, +0.00000000000E+000
+3.52767550000E+009, -3.00625700460E+001, +0.00000000000E+000
+3.57017400000E+009, -3.01693251826E+001, +0.00000000000E+000
+3.61267250000E+009, -3.02136324123E+001, +0.00000000000E+000
+3.65517100000E+009, -3.02405641425E+001, +0.00000000000E+000
+3.69766950000E+009, -3.03300790149E+001, +0.00000000000E+000
+3.74016800000E+009, -3.04304533876E+001, +0.00000000000E+000
+3.78266650000E+009, -3.04808145246E+001, +0.00000000000E+000
