"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.03765750000E+009, -1.37693679032E+000, +0.00000000000E+000
+4.08015600000E+009, -1.39045576457E+000, +0.00000000000E+000
+4.12265450000E+009, -1.36711764870E+000, +0.00000000000E+000
+4.16515300000E+009, -1.38044075993E+000, +0.00000000000E+000
+4.20765150000E+009, -1.40394718551E+000, +0.00000000000E+000
+4.25015000000E+009, -1.39954668158E+000, +0.00000000000E+000
+4.29264850000E+009, -1.42163405178E+000, +0.00000000000E+000
+4.33514700000E+009, -1.46098883891E+000, +0.00000000000E+000
+4.37764550000E+009, -1.41580207214E+000, +0.00000000000E+000
+4.42014400000E+009, -1.44671564474E+000, +0.00000000000E+000
+4.46264250000E+009, -1.49029009403E+000, +0.00000000000E+000
+4.50514100000E+009, -1.48381314728E+000, +0.00000000000E+000
+4.54763950000E+009, -1.48652413205E+000, +0.00000000000E+000
+4.59013800000E+009, -1.49292166677E+000, +0.00000000000E+000
+4.63263650000E+009, -1.49205178546E+000, +0.00000000000E+000
+4.67513500000E+009, -1.50862360802E+000, +0.00000000000E+000
+4.71763350000E+009, -1.55241813883E+000, +0.00000000000E+000
+4.76013200000E+009, -1.53708012481E+000, +0.00000000000E+000
+4.80263050000E+009, -1.52977958809E+000, +0.00000000000E+000
+4.84512900000E+009, -1.54723623390E+000, +0.00000000000E+000
+4.88762750000E+009, -1.53589777065E+000, +0.00000000000E+000
+4.93012600000E+009, -1.60782302243E+000, +0.00000000000E+000
+4.97262450000E+009, -1.54297988919E+000, +0.00000000000E+000
+5.01512300000E+009, -1.58984954926E+000, +0.00000000000E+000
+5.05762150000E+009, -1.63847757022E+000, +0.00000000000E+000
+5.10012000000E+009, -1.60361554237E+000, +0.00000000000E+000
+5.14261850000E+009, -1.62552674423E+000, +0.00000000000E+000
+5.18511700000E+009, -1.60119578266E+000, +0.00000000000E+000
+5.22761550000E+009, -1.64522223316E+000, +0.00000000000E+000
+5.27011400000E+009, -1.68852762438E+000, +0.00000000000E+000
+5.31261250000E+009, -1.65142977005E+000, +0.00000000000E+000
+5.35511100000E+009, -1.65290269854E+000, +0.00000000000E+000
+5.39760950000E+009, -1.64460276321E+000, +0.00000000000E+000
+5.44010800000E+009, -1.79476053701E+000, +0.00000000000E+000
+5.48260650000E+009, -1.67288363481E+000, +0.00000000000E+000
+5.52510500000E+009, -1.70471104065E+000, +0.00000000000E+000
+5.56760350000E+009, -1.72437450234E+000, +0.00000000000E+000
+5.61010200000E+009, -1.84159844306E+000, +0.00000000000E+000
+5.65260050000E+009, -1.75130492520E+000, +0.00000000000E+000
+5.69509900000E+009, -1.72965702567E+000, +0.00000000000E+000
+5.73759750000E+009, -1.77964274699E+000, +0.00000000000E+000
+5.78009600000E+009, -1.76770587822E+000, +0.00000000000E+000
+5.82259450000E+009, -1.79260077679E+000, +0.00000000000E+000
+5.86509300000E+009, -1.77008295890E+000, +0.00000000000E+000
+5.90759150000E+009, -1.75936913382E+000, +0.00000000000E+000
+5.95009000000E+009, -1.95013857681E+000, +0.00000000000E+000
+5.99258850000E+009, -1.83665662848E+000, +0.00000000000E+000
+6.03508700000E+009, -1.83253384298E+000, +0.00000000000E+000
+6.07758550000E+009, -1.85142640373E+000, +0.00000000000E+000
