"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.99994216518E+001, +0.00000000000E+000
+4.27985000000E+007, -2.08552292619E+001, +0.00000000000E+000
+8.52970000000E+007, -2.12273170380E+001, +0.00000000000E+000
+1.27795500000E+008, -2.15267954572E+001, +0.00000000000E+000
+1.70294000000E+008, -2.17853457484E+001, +0.00000000000E+000
+2.12792500000E+008, -2.20003289772E+001, +0.00000000000E+000
+2.55291000000E+008, -2.22107425503E+001, +0.00000000000E+000
+2.97789500000E+008, -2.24045618858E+001, +0.00000000000E+000
+3.40288000000E+008, -2.25843180271E+001, +0.00000000000E+000
+3.82786500000E+008, -2.27679800809E+001, +0.00000000000E+000
+4.25285000000E+008, -2.29100703888E+001, +0.00000000000E+000
+4.67783500000E+008, -2.30679042048E+001, +0.00000000000E+000
+5.10282000000E+008, -2.32314924885E+001, +0.00000000000E+000
+5.52780500000E+008, -2.33589355203E+001, +0.00000000000E+000
+5.95279000000E+008, -2.34995837161E+001, +0.00000000000E+000
+6.37777500000E+008, -2.36821043748E+001, +0.00000000000E+000
+6.80276000000E+008, -2.37639953119E+001, +0.00000000000E+000
+7.22774500000E+008, -2.39180878192E+001, +0.00000000000E+000
+7.65273000000E+008, -2.40111548142E+001, +0.00000000000E+000
+8.07771500000E+008, -2.41739202669E+001, +0.00000000000E+000
+8.50270000000E+008, -2.42829080401E+001, +0.00000000000E+000
+8.92768500000E+008, -2.43872188011E+001, +0.00000000000E+000
+9.35267000000E+008, -2.45232093065E+001, +0.00000000000E+000
+9.77765500000E+008, -2.46279705487E+001, +0.00000000000E+000
+1.02026400000E+009, -2.47759786527E+001, +0.00000000000E+000
+1.06276250000E+009, -2.48094164010E+001, +0.00000000000E+000
+1.10526100000E+009, -2.49352849259E+001, +0.00000000000E+000
+1.14775950000E+009, -2.50237397332E+001, +0.00000000000E+000
+1.19025800000E+009, -2.51627762871E+001, +0.00000000000E+000
+1.23275650000E+009, -2.52270025166E+001, +0.00000000000E+000
+1.27525500000E+009, -2.53371798153E+001, +0.00000000000E+000
+1.31775350000E+009, -2.54118865209E+001, +0.00000000000E+000
+1.36025200000E+009, -2.55595197551E+001, +0.00000000000E+000
+1.40275050000E+009, -2.56365637515E+001, +0.00000000000E+000
+1.44524900000E+009, -2.57195761158E+001, +0.00000000000E+000
+1.48774750000E+009, -2.58213394283E+001, +0.00000000000E+000
+1.53024600000E+009, -2.59373603542E+001, +0.00000000000E+000
+1.57274450000E+009, -2.60137312043E+001, +0.00000000000E+000
+1.61524300000E+009, -2.60795543448E+001, +0.00000000000E+000
+1.65774150000E+009, -2.61970987274E+001, +0.00000000000E+000
+1.70024000000E+009, -2.63114318741E+001, +0.00000000000E+000
+1.74273850000E+009, -2.63829535867E+001, +0.00000000000E+000
+1.78523700000E+009, -2.64981432886E+001, +0.00000000000E+000
+1.82773550000E+009, -2.65744413154E+001, +0.00000000000E+000
+1.87023400000E+009, -2.66189750764E+001, +0.00000000000E+000
+1.91273250000E+009, -2.67545770456E+001, +0.00000000000E+000
+1.95523100000E+009, -2.68122876615E+001, +0.00000000000E+000
+1.99772950000E+009, -2.68744890034E+001, +0.00000000000E+000
+2.04022800000E+009, -2.69719705441E+001, +0.00000000000E+000
+2.08272650000E+009, -2.70584918291E+001, +0.00000000000E+000
+2.12522500000E+009, -2.71546234272E+001, +0.00000000000E+000
+2.16772350000E+009, -2.72250380235E+001, +0.00000000000E+000
+2.21022200000E+009, -2.72896845451E+001, +0.00000000000E+000
+2.25272050000E+009, -2.73903852403E+001, +0.00000000000E+000
