"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.03765750000E+009, -1.97047585384E+000, +0.00000000000E+000
+4.08015600000E+009, -1.98586868620E+000, +0.00000000000E+000
+4.12265450000E+009, -2.02198065452E+000, +0.00000000000E+000
+4.16515300000E+009, -2.02846600395E+000, +0.00000000000E+000
+4.20765150000E+009, -2.04166736178E+000, +0.00000000000E+000
+4.25015000000E+009, -2.18657738720E+000, +0.00000000000E+000
+4.29264850000E+009, -2.13931952552E+000, +0.00000000000E+000
+4.33514700000E+009, -2.14867712511E+000, +0.00000000000E+000
+4.37764550000E+009, -2.20148722860E+000, +0.00000000000E+000
+4.42014400000E+009, -2.14982014284E+000, +0.00000000000E+000
+4.46264250000E+009, -2.18573621456E+000, +0.00000000000E+000
+4.50514100000E+009, -2.18834345113E+000, +0.00000000000E+000
+4.54763950000E+009, -2.21282079036E+000, +0.00000000000E+000
+4.59013800000E+009, -2.25584375592E+000, +0.00000000000E+000
+4.63263650000E+009, -2.26952207258E+000, +0.00000000000E+000
+4.67513500000E+009, -2.32862702739E+000, +0.00000000000E+000
+4.71763350000E+009, -2.45176490261E+000, +0.00000000000E+000
+4.76013200000E+009, -2.46701287376E+000, +0.00000000000E+000
+4.80263050000E+009, -2.38158147378E+000, +0.00000000000E+000
+4.84512900000E+009, -2.53941169487E+000, +0.00000000000E+000
+4.88762750000E+009, -2.53143554211E+000, +0.00000000000E+000
+4.93012600000E+009, -2.42109803865E+000, +0.00000000000E+000
+4.97262450000E+009, -2.56502593586E+000, +0.00000000000E+000
+5.01512300000E+009, -2.55527329414E+000, +0.00000000000E+000
+5.05762150000E+009, -2.51401067821E+000, +0.00000000000E+000
+5.10012000000E+009, -2.57078432988E+000, +0.00000000000E+000
+5.14261850000E+009, -2.59618074409E+000, +0.00000000000E+000
+5.18511700000E+009, -2.66805952862E+000, +0.00000000000E+000
+5.22761550000E+009, -2.64608112691E+000, +0.00000000000E+000
+5.27011400000E+009, -2.73424625843E+000, +0.00000000000E+000
+5.31261250000E+009, -2.83187649630E+000, +0.00000000000E+000
